School,Apr 2023 (FMR 2br shared),Oct 2023 (FMR 2br shared),Oct 2024 (FMR 2br shared),Tier
UC San Diego,1969,2245.047578,2477.196307,2
UC Irvine,2113,2409.235923,2658.362518,2
UC Los<br>Angeles<br>,1747,1991.923879,2197.8984,1
UC Riverside,1398,1593.995182,1758.821959,2
UC Santa<br>Barbara<br>,2350,2679.462574,2956.531906,2
UC Merced,1017,1159.580186,1279.486361,2
UC Santa<br>Cruz<br>,2502,2852.772494,3147.762906,2
UC Davis,1406,1603.116757,1768.886749,2
UC San<br>Francisco<br>,2665,3038.624579,3352.832991,1
UC Berkeley,1969,2245.047578,2477.196307,1
