School,Apr 2023 (living monthly wage),Oct 2023 (living monthly wage),Oct 2024 (living monthly wage),2023 MIT Living Wage Calculator (annual),Tier
UC San Diego,3942,4020.84,4101.2568,47304,2
UC Irvine,4320.25,4406.655,4494.7881,51843,2
UC Los<br>Angeles<br>,3794.666667,3870.56,3947.9712,45536,1
UC Riverside,3235.083333,3299.785,3365.7807,38821,2
UC Santa<br>Barbara<br>,4389.583333,4477.375,4566.9225,52675,2
UC Merced,2851.583333,2908.615,2966.7873,34219,2
UC Santa<br>Cruz<br>,4757,4852.14,4949.1828,57084,2
UC Davis,3410.833333,3479.05,3548.631,40930,2
UC San<br>Francisco<br>,5340.833333,5447.65,5556.603,64090,1
UC Berkeley,4205.25,4289.355,4375.1421,50463,1
University of<br>Washington<br>,3713.083333,3787.345,3863.0919,44557,
Harvard,4148.416667,4231.385,4316.0127,49781,
Columbia,4405.25,4493.355,4583.2221,52863,
