School,Position,Step,Min or Max,Apr 2023 (monthly),Oct 2023 (monthly),Oct 2024 (monthly),Apr 2023 (annual),Oct 2023 (annual),Oct 2024 (annual),Line Color,Marker Color,Rent
UC Tentative<br>Agreement<br>,GSR,Step 1,1,2545,2707.916667,2880.375,30540,32495,34564.5,"rgba(96, 151, 229, 0.5)",#0E55B8,
UC Tentative<br>Agreement<br>,GSR,Step 2,0,2742.25,2917.791667,3103.625,32907,35013.5,37243.5,"rgba(96, 151, 229, 0.5)",#0E55B8,
UC Tentative<br>Agreement<br>,GSR,Step 3,0,2954.791667,3143.916667,3344.166667,35457.5,37727,40130,"rgba(96, 151, 229, 0.5)",#0E55B8,
UC Tentative<br>Agreement<br>,GSR,Step 4,0,3183.791667,3387.583333,3603.375,38205.5,40651,43240.5,"rgba(96, 151, 229, 0.5)",#0E55B8,
UC Tentative<br>Agreement<br>,GSR,Step 5,0,3430.541667,3650.125,3882.666667,41166.5,43801.5,46592,"rgba(96, 151, 229, 0.5)",#0E55B8,
UC Tentative<br>Agreement<br>,GSR,Step 6,1,3696.416667,3933,4183.583333,44357,47196,50203,"rgba(96, 151, 229, 0.5)",#0E55B8,
UC Tentative<br>Agreement<br>(Tier 2 Campus)<br><br>,ASE,Assistant,1,2777.78,3236.11,3777.78,33333.36,38833.32,45333.36,"rgba(96, 151, 229, 0.5)",#0E55B8,
UC Tentative<br>Agreement<br>(Tier 2 Campus)<br><br>,ASE,Associate,0,2910.34,3390.56,3958.11,34924.08,40686.72,47497.32,"rgba(96, 151, 229, 0.5)",#0E55B8,
UC Tentative<br>Agreement<br>(Tier 2 Campus)<br><br>,ASE,Fellow,1,3297,3841.06,4484,39564,46092.72,53808,"rgba(96, 151, 229, 0.5)",#0E55B8,
UC Tentative<br>Agreement<br>(Tier 1 Campus)<br><br>,ASE,Assistant,1,2777.78,3473.97,4055.56,33333.36,41687.64,48666.72,"rgba(96, 151, 229, 0.5)",#0E55B8,
UC Tentative<br>Agreement<br>(Tier 1 Campus)<br><br>,ASE,Associate,0,2910.34,3639.78,4249.06,34924.08,43677.36,50988.72,"rgba(96, 151, 229, 0.5)",#0E55B8,
UC Tentative<br>Agreement<br>(Tier 1 Campus)<br><br>,ASE,Fellow,1,3297,4123.34,4813.56,39564,44226,57762.72,"rgba(96, 151, 229, 0.5)",#0E55B8,
